id,label,number_of_doctors,landsting_id,ownership,phonesystem,booking_type,unit_type,unit_type_number,code,_label
1977,Familjeläkargruppen Odenplan,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Familjeläkargruppen Odenplan
1978,Tullinge vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Tullinge vårdcentral
1979,Feelgood vårdcentral Grevturegatan,2 - 4 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Feelgood vårdcentral Grevturegatan
1980,Torsviks Vårdcentral,,10,Offentlig,,,Primärvård,2,,Torsviks Vårdcentral
1981,Husby vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Husby vårdcentral
1982,Sjöstadsdoktorn,2 - 4 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Sjöstadsdoktorn
1983,Munsö husläkarmottagning,1 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Munsö husläkarmottagning
1984,Capio Vårdcentral Gullmarsplan,5 - 7 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Capio Vårdcentral Gullmarsplan
1985,Rosenlunds vårdcentral,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Rosenlunds vårdcentral
1986,Väsby Läkargrupp Husläkarmottagning,,10,Privat,,,Primärvård,2,,Väsby Läkargrupp Husläkarmottagning
1987,"Husläkarmottagning, Stiftelsen Stockholms sjukhem",2 - 4 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,"Husläkarmottagning, Stiftelsen Stockholms sjukhem"
1988,Capio Husläkarmottagningen Serafen,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Capio Husläkarmottagningen Serafen
1989,Capio Vårdcentral Viksjö,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Capio Vårdcentral Viksjö
1990,Capio Vårdcentral Bro,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Capio Vårdcentral Bro
1991,Bredängs vårdcentral,2 - 4 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Bredängs vårdcentral
1992,Carema Vårdcentral Rågsved,5 - 7 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Carema Vårdcentral Rågsved
1993,Brommaplans vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Brommaplans vårdcentral
1994,Hammarby Sjöstads Husläkare,5 - 7 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Hammarby Sjöstads Husläkare
1995,SinusRytm Vårdcentral Märsta,,10,Privat,,,Primärvård,2,,SinusRytm Vårdcentral Märsta
1996,Hagalund Frösunda vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Högst 7 dagar,Primärvård,2,,Hagalund Frösunda vårdcentral
1997,Sköndals Husläkarmottagning,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Sköndals Husläkarmottagning
1998,Nykvarns Vårdcentral,2 - 4 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Nykvarns Vårdcentral
1999,Täby Kyrkby Husläkarmottagning,5 - 7 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Täby Kyrkby Husläkarmottagning
2000,Nynäshamns vårdcentral,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Nynäshamns vårdcentral
2001,Vårby vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Vårby vårdcentral
2002,Aleris Vårdcentral Tyresö,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Högst 7 dagar,Primärvård,2,,Aleris Vårdcentral Tyresö
2004,Bergshamra Husläkarmottagning Tiohundra,2 - 4 läkare,10,Offentlig,Datoriserad växel,Högst 14 dagar,Primärvård,2,,Bergshamra Husläkarmottagning Tiohundra
2005,Söderdoktorn,8 eller fler läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Söderdoktorn
2006,Dalens vårdcentral,8 eller fler läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Dalens vårdcentral
2007,Banérgatans husläkarmottagning,,10,Privat,,,Primärvård,2,,Banérgatans husläkarmottagning
2008,Arkadens Läkarmottagning,,10,Privat,,,Primärvård,2,,Arkadens Läkarmottagning
2009,Fisksätra vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Fisksätra vårdcentral
2010,Blackeberg vårdcentral,8 eller fler läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Blackeberg vårdcentral
2011,Capio Vårdcentral Vårberg,2 - 4 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Capio Vårdcentral Vårberg
2012,Husläkarmottagning Väddö,2 - 4 läkare,10,Offentlig,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Husläkarmottagning Väddö
2013,Carema Vårdcentral Vårberg,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Carema Vårdcentral Vårberg
2014,Husby Akalla Vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Husby Akalla Vårdcentral
2015,Täby Centrum Doktorn,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Täby Centrum Doktorn
2016,Spånga vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Spånga vårdcentral
2017,Din Doktor Märsta,,10,Privat,,,Primärvård,2,,Din Doktor Märsta
2018,Lisebergs vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Lisebergs vårdcentral
2019,Råsunda vårdcentral,,10,Offentlig,,,Primärvård,2,,Råsunda vårdcentral
2020,Hallunda vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Hallunda vårdcentral
2021,Västervården Husläkarmottagning,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Västervården Husläkarmottagning
2022,Capio Lidingö Vårdcentral,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Capio Lidingö Vårdcentral
2023,LidingöDoktorn,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,LidingöDoktorn
2024,Sigtuna Läkarhus,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Sigtuna Läkarhus
2025,Doktor Kom Hem,1 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Doktor Kom Hem
2026,Sigtuna Vårdcentral,,10,Privat,,,Primärvård,2,,Sigtuna Vårdcentral
2027,Capio Vårdcentral Wasa,2 - 4 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Capio Vårdcentral Wasa
2028,Järna vårdcentral,2 - 4 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Järna vårdcentral
2029,Vallentuna Husläkargrupp,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Vallentuna Husläkargrupp
2030,Hallonbergens vårdcentral,2 - 4 läkare,10,Offentlig,Datoriserat återuppringningssystem,Högst 14 dagar,Primärvård,2,,Hallonbergens vårdcentral
2031,Edsbergs vårdcentral,,10,Privat,,,Primärvård,2,,Edsbergs vårdcentral
2032,Turebergs vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Turebergs vårdcentral
2033,Hjorthagens vårdcentral,,10,Offentlig,,,Primärvård,2,,Hjorthagens vårdcentral
2034,BrommaAkuten - Vårdcentral,,10,Privat,,,Primärvård,2,,BrommaAkuten - Vårdcentral
2035,Hötorgets läkarpraktik,,10,Privat,,,Primärvård,2,,Hötorgets läkarpraktik
2036,Aleris Vårdcentral Nykvarn,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Aleris Vårdcentral Nykvarn
2037,Ormängens vårdcentral,5 - 7 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Ormängens vårdcentral
2038,Boo vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Boo vårdcentral
2039,Saltsjöbadens vårdcentral,2 - 4 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Saltsjöbadens vårdcentral
2040,Stuvsta Vårdcentral,8 eller fler läkare,10,Privat,Datoriserad växel,Högst 14 dagar,Primärvård,2,,Stuvsta Vårdcentral
2041,Huvudsta Vårdcentral,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Huvudsta Vårdcentral
2042,"Vårdcentralen Badhotellet, Södertälje",2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,"Vårdcentralen Badhotellet, Södertälje"
2043,Veritas vårdcentral Ekerö,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Veritas vårdcentral Ekerö
2044,Familjeläkarna i City,,10,Privat,,,Primärvård,2,,Familjeläkarna i City
2045,Gustavsbergs vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Gustavsbergs vårdcentral
2046,Salems vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Salems vårdcentral
2047,Kvartersakuten Matteus,5 - 7 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Kvartersakuten Matteus
2048,Capio Vårdcentral Södermalm,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Capio Vårdcentral Södermalm
2049,NynäsAkuten,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,NynäsAkuten
2050,Carema Vårdcentral Lina Hage,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Carema Vårdcentral Lina Hage
2051,Vibblaby Husläkarmottagning,5 - 7 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Vibblaby Husläkarmottagning
2052,Märsta Läkarhus,,10,Privat,,,Primärvård,2,,Märsta Läkarhus
2053,Husläkarna Rimbo-Edsbro,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Husläkarna Rimbo-Edsbro
2054,Östra vårdcentralen,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Östra vårdcentralen
2055,Lill-Jans husläkarmottagning,,10,Privat,,,Primärvård,2,,Lill-Jans husläkarmottagning
2056,Capio Vårdcentral Skogås,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Capio Vårdcentral Skogås
2057,Österåkersdoktorn,,10,Privat,,,Primärvård,2,,Österåkersdoktorn
2058,Barkarby vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Barkarby vårdcentral
2059,Efoel husläkarmottagning,,10,Privat,,,Primärvård,2,,Efoel husläkarmottagning
2060,Stureby vårdcentral,8 eller fler läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Stureby vårdcentral
2061,Bergshamra Ulriksdal Vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Högst 14 dagar,Primärvård,2,,Bergshamra Ulriksdal Vårdcentral
2062,Vendelsö vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Vendelsö vårdcentral
2063,Husläkarmottagning Hallstavik,,10,Offentlig,,,Primärvård,2,,Husläkarmottagning Hallstavik
2064,Abrahamsbergs vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Abrahamsbergs vårdcentral
2066,Vidar vårdcentral,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Vidar vårdcentral
2067,Kista vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Kista vårdcentral
2068,Carema Vårdcentral Södermalm,5 - 7 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Carema Vårdcentral Södermalm
2069,Fridhemsplans Vårdcentral,1 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Fridhemsplans Vårdcentral
2070,Din vårdcentral Bagarmossen,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Din vårdcentral Bagarmossen
2071,Forums vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Forums vårdcentral
2072,S:t Eriks vårdcentral,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,S:t Eriks vårdcentral
2073,Tveta hälsocentral,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Tveta hälsocentral
2074,Husläkarmottagning Norrtälje Södra,8 eller fler läkare,10,Offentlig,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Husläkarmottagning Norrtälje Södra
2075,Västra skogens vårdcentral,2 - 4 läkare,10,Offentlig,Datoriserat återuppringningssystem,Högst 14 dagar,Primärvård,2,,Västra skogens vårdcentral
2076,Brandbergens vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Brandbergens vårdcentral
2077,Capio Vårdcentral Väsby,,10,Privat,,,Primärvård,2,,Capio Vårdcentral Väsby
2078,Carema Vårdcentral Farsta,8 eller fler läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Carema Vårdcentral Farsta
2079,Jordbro vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Jordbro vårdcentral
2080,Capio Vårdcentral Lina Hage,5 - 7 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Capio Vårdcentral Lina Hage
2081,Husläkarmottagningen Korallen,2 - 4 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Husläkarmottagningen Korallen
2082,Telefonplans Husläkare,,10,Privat,,,Primärvård,2,,Telefonplans Husläkare
2083,Ektorps vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Ektorps vårdcentral
2084,Familjeläkarna i Husby,5 - 7 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Familjeläkarna i Husby
2085,Tibra Medica husläkarmottagning,2 - 4 läkare,10,Privat,Datoriserad växel,Längre än 14 dagar,Primärvård,2,,Tibra Medica husläkarmottagning
2086,Älvsjö vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Älvsjö vårdcentral
2087,Axelsbergs vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Axelsbergs vårdcentral
2088,Helsa vårdcentral Älta,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Helsa vårdcentral Älta
2089,Veritas vårdcentral Upplands Väsby,2 - 4 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Veritas vårdcentral Upplands Väsby
2090,Scania Hälsocenter,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Scania Hälsocenter
2091,Jakobsbergs vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Högst 14 dagar,Primärvård,2,,Jakobsbergs vårdcentral
2092,Gärdets vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Gärdets vårdcentral
2093,"Capio Stadshusdoktorn, Lidingö",5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,"Capio Stadshusdoktorn, Lidingö"
2094,Ösmo VårdCentral,,10,Privat,,,Primärvård,2,,Ösmo VårdCentral
2095,Aleris Vårdcentral Tungelstahälsan,,10,Privat,,,Primärvård,2,,Aleris Vårdcentral Tungelstahälsan
2096,Capio Vårdcentral Rågsved,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Capio Vårdcentral Rågsved
2097,Luna vårdcentral,8 eller fler läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Luna vårdcentral
2098,Sophiahemmet Husläkarmottagningen,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Sophiahemmet Husläkarmottagningen
2099,Familjeläkarna i Saltsjöbaden,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Familjeläkarna i Saltsjöbaden
2100,Carema Vårdcentral Gubbängen,5 - 7 läkare,10,Privat,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Carema Vårdcentral Gubbängen
2101,Mörby vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Mörby vårdcentral
2103,Trollbäckens vårdcentral,5 - 7 läkare,10,Offentlig,Datoriserat återuppringningssystem,Längre än 14 dagar,Primärvård,2,,Trollbäckens vårdcentral
