,checkbox_female,checkbox_male,checkbox_regi_private,checkbox_regi_public,measure,select_booking_type,select_number_of_doctors,select_period,select_region,select_unit,select_year,value
31,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,61,Vårdcentral/motsv.,2016,8150.0
32,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,61,Vårdcentral/motsv.,2016,8895.0
33,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,42,Vårdcentral/motsv.,2016,88.0
34,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,42,Vårdcentral/motsv.,2016,6984.0
35,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,42,Vårdcentral/motsv.,2016,7947.0
36,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,63,Vårdcentral/motsv.,2016,82.0
37,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,63,Vårdcentral/motsv.,2016,2638.0
38,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,63,Vårdcentral/motsv.,2016,3220.0
39,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,22,Vårdcentral/motsv.,2016,89.0
40,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,22,Vårdcentral/motsv.,2016,7412.0
41,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,22,Vårdcentral/motsv.,2016,8364.0
42,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,24,Vårdcentral/motsv.,2016,82.0
43,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,24,Vårdcentral/motsv.,2016,4609.0
44,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,24,Vårdcentral/motsv.,2016,5633.0
45,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,23,Vårdcentral/motsv.,2016,86.0
46,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,23,Vårdcentral/motsv.,2016,4200.0
47,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,23,Vårdcentral/motsv.,2016,4887.0
48,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,65,Vårdcentral/motsv.,2016,90.0
49,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,65,Vårdcentral/motsv.,2016,5238.0
50,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,65,Vårdcentral/motsv.,2016,5815.0
51,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,41,Vårdcentral/motsv.,2016,91.0
52,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,41,Vårdcentral/motsv.,2016,23788.0
53,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,41,Vårdcentral/motsv.,2016,26090.0
54,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,10,Vårdcentral/motsv.,2016,90.0
55,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,10,Vårdcentral/motsv.,2016,48066.0
56,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,10,Vårdcentral/motsv.,2016,53120.0
57,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,13,Vårdcentral/motsv.,2016,88.0
58,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,13,Vårdcentral/motsv.,2016,5745.0
59,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,13,Vårdcentral/motsv.,2016,6515.0
60,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,12,Vårdcentral/motsv.,2016,86.0
61,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,12,Vårdcentral/motsv.,2016,6813.0
62,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,12,Vårdcentral/motsv.,2016,7881.0
63,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,54,Vårdcentral/motsv.,2016,90.0
64,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,54,Vårdcentral/motsv.,2016,4795.0
65,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,54,Vårdcentral/motsv.,2016,5346.0
66,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,64,Vårdcentral/motsv.,2016,87.0
67,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,64,Vårdcentral/motsv.,2016,4119.0
68,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,64,Vårdcentral/motsv.,2016,4750.0
69,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,62,Vårdcentral/motsv.,2016,80.0
70,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,62,Vårdcentral/motsv.,2016,4275.0
71,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,62,Vårdcentral/motsv.,2016,5315.0
72,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,56,Vårdcentral/motsv.,2016,82.0
73,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,56,Vårdcentral/motsv.,2016,5532.0
74,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,56,Vårdcentral/motsv.,2016,6753.0
75,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,51,Vårdcentral/motsv.,2016,93.0
76,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,51,Vårdcentral/motsv.,2016,40407.0
77,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,51,Vårdcentral/motsv.,2016,43521.0
78,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,55,Vårdcentral/motsv.,2016,86.0
79,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,55,Vårdcentral/motsv.,2016,6121.0
80,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,55,Vårdcentral/motsv.,2016,7120.0
81,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,21,Vårdcentral/motsv.,2016,92.0
82,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,21,Vårdcentral/motsv.,2016,6143.0
83,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,21,Vårdcentral/motsv.,2016,6708.0
0,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,90.0
1,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,207397.0
2,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,230023.0
3,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,86.0
4,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,16257.0
5,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,18944.0
6,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,88.0
7,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,44937.0
8,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,51131.0
9,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,93.0
10,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,47778.0
11,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,51590.0
12,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,89.0
13,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,18882.0
14,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,21285.0
15,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,92.0
16,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,39522.0
17,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,42734.0
18,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,90.0
19,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,40021.0
20,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2015,44339.0
21,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,27,Vårdcentral/motsv.,2015,86.0
22,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,27,Vårdcentral/motsv.,2015,3206.0
23,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,27,Vårdcentral/motsv.,2015,3711.0
24,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,57,Vårdcentral/motsv.,2015,84.0
25,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,57,Vårdcentral/motsv.,2015,5374.0
26,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,57,Vårdcentral/motsv.,2015,6402.0
27,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,26,Vårdcentral/motsv.,2015,88.0
28,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,26,Vårdcentral/motsv.,2015,1162.0
29,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,26,Vårdcentral/motsv.,2015,1319.0
30,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,61,Vårdcentral/motsv.,2015,91.0
31,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,61,Vårdcentral/motsv.,2015,9523.0
32,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,61,Vårdcentral/motsv.,2015,10482.0
33,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,42,Vårdcentral/motsv.,2015,90.0
34,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,42,Vårdcentral/motsv.,2015,7548.0
35,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,42,Vårdcentral/motsv.,2015,8381.0
36,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,63,Vårdcentral/motsv.,2015,83.0
37,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,63,Vårdcentral/motsv.,2015,2552.0
38,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,63,Vårdcentral/motsv.,2015,3060.0
39,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,22,Vårdcentral/motsv.,2015,91.0
40,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,22,Vårdcentral/motsv.,2015,7211.0
41,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,22,Vårdcentral/motsv.,2015,7947.0
42,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,24,Vårdcentral/motsv.,2015,84.0
43,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,24,Vårdcentral/motsv.,2015,5281.0
44,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,24,Vårdcentral/motsv.,2015,6282.0
45,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,23,Vårdcentral/motsv.,2015,88.0
46,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,23,Vårdcentral/motsv.,2015,4024.0
47,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,23,Vårdcentral/motsv.,2015,4574.0
48,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,65,Vårdcentral/motsv.,2015,91.0
49,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,65,Vårdcentral/motsv.,2015,4880.0
50,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,65,Vårdcentral/motsv.,2015,5336.0
51,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,41,Vårdcentral/motsv.,2015,91.0
52,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,41,Vårdcentral/motsv.,2015,25243.0
53,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,41,Vårdcentral/motsv.,2015,27673.0
54,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,10,Vårdcentral/motsv.,2015,93.0
55,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,10,Vårdcentral/motsv.,2015,46616.0
56,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,10,Vårdcentral/motsv.,2015,50271.0
57,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,13,Vårdcentral/motsv.,2015,91.0
58,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,13,Vårdcentral/motsv.,2015,5640.0
59,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,13,Vårdcentral/motsv.,2015,6194.0
60,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,12,Vårdcentral/motsv.,2015,88.0
61,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,12,Vårdcentral/motsv.,2015,6912.0
62,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,12,Vårdcentral/motsv.,2015,7885.0
63,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,54,Vårdcentral/motsv.,2015,91.0
64,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,54,Vårdcentral/motsv.,2015,5679.0
65,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,54,Vårdcentral/motsv.,2015,6219.0
66,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,64,Vårdcentral/motsv.,2015,87.0
67,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,64,Vårdcentral/motsv.,2015,4754.0
68,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,64,Vårdcentral/motsv.,2015,5456.0
69,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,62,Vårdcentral/motsv.,2015,80.0
70,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,62,Vårdcentral/motsv.,2015,4071.0
71,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,62,Vårdcentral/motsv.,2015,5092.0
72,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,56,Vårdcentral/motsv.,2015,85.0
73,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,56,Vårdcentral/motsv.,2015,5762.0
74,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,56,Vårdcentral/motsv.,2015,6795.0
75,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,51,Vårdcentral/motsv.,2015,92.0
76,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,51,Vårdcentral/motsv.,2015,39522.0
77,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,51,Vårdcentral/motsv.,2015,42734.0
78,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,55,Vårdcentral/motsv.,2015,85.0
79,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,55,Vårdcentral/motsv.,2015,6047.0
80,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,55,Vårdcentral/motsv.,2015,7154.0
81,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,21,Vårdcentral/motsv.,2015,91.0
82,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,21,Vårdcentral/motsv.,2015,6390.0
83,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,21,Vårdcentral/motsv.,2015,7056.0
0,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,91.0
1,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,229194.0
2,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,250662.0
3,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,87.0
4,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,17940.0
5,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,20620.0
6,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,88.0
7,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,46931.0
8,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,53067.0
9,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,94.0
10,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,59877.0
11,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,63438.0
12,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,93.0
13,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,20627.0
14,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,22153.0
15,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,93.0
16,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,41396.0
17,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,44594.0
18,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,91.0
19,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,42423.0
20,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,1,Vårdcentral/motsv.,2014,46790.0
21,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,27,Vårdcentral/motsv.,2014,94.0
22,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,27,Vårdcentral/motsv.,2014,4095.0
23,True,True,True,True,Totalt antal besök,Alla tider,Alla antal läkare,Hösten,27,Vårdcentral/motsv.,2014,4366.0
24,True,True,True,True,Måluppfyllelse vårdgarantin (Andel Besök inom 7 dagar),Alla tider,Alla antal läkare,Hösten,57,Vårdcentral/motsv.,2014,81.0
25,True,True,True,True,Antal Besök inom 7 dagar,Alla tider,Alla antal läkare,Hösten,57,Vårdcentral/motsv.,2014,5446.0
